path,kind,language_or_server,runtime_referenced,references,generated,source_of_truth,unique_content,planned_action,replacement_path,risk,status
config/deploy.template-docker.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
config/deploy.template-linux-cn.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,delete,,high,removed
config/deploy.template-linux.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
config/deploy.template.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
config/template.json,config,CN/TW+TW,yes,CN; cn; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,high,reviewed_or_retained
config/template.maa.json,config,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
deploy/AidLux/0.92/requirements.txt,build_or_deploy,CN/TW,no,CN; cn,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/Readme.md,build_or_deploy,TW,no,TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/Windows/config.py,build_or_deploy,CN/TW,no,CN; cn,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/Windows/git.py,build_or_deploy,CN/TW+TW,no,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/Windows/installer_test.py,build_or_deploy,CN/TW,no,CN; cn; zh-CN,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/Windows/patch.py,build_or_deploy,CN/TW+TW,no,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/Windows/template.yaml,build_or_deploy,CN/TW+JP+TW,no,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/adb.py,build_or_deploy,TW,no,TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/atomic.py,build_or_deploy,TW,no,TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/config.py,build_or_deploy,CN/TW,no,CN; cn,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/docker/Docker-run.sh,build_or_deploy,TW,no,TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/docker/requirements.txt,build_or_deploy,CN/TW,no,CN; cn,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/emulator.py,build_or_deploy,CN/TW+TW,no,Chinese; TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/git.py,build_or_deploy,CN/TW,no,CN; cn,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/headless/requirements.txt,build_or_deploy,CN/TW,no,CN; cn,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/install/emulator_windows.py,build_or_deploy,CN/TW+TW,no,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/patch.py,build_or_deploy,CN/TW+TW,no,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
deploy/template,build_or_deploy,CN/TW+JP+TW,no,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,medium,migrated_or_retained_EN
dev_tools/alas2.bat,other,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw,no,,n/a,review,,medium,reviewed_or_retained
dev_tools/arm64/requirements.txt,other,CN/TW,no,CN; cn,no,,n/a,review,,medium,reviewed_or_retained
dev_tools/button_extract.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/emulator_test.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/en_only_data_cleanup.py,runtime,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; TW; tw; com.bilibili; azur-stats.lyoko.io,no,,n/a,remove_service_integration,,high,reviewed_or_retained
dev_tools/en_only_migration.py,runtime,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh_CN; zh-TW; zh_TW; Chinese; 简体中文; 繁體中文; JP; jp; ja-JP; ja_JP; Japanese; 日本語; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu,no,,n/a,remove_service_integration,,high,reviewed_or_retained
dev_tools/grids_debug.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/item_statistics.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/map_extractor.py,runtime,CN/TW,yes,CN; cn; zh-CN,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/os_extract.py,runtime,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; JP; jp; ja-JP; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/relative_crop.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/relative_record.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/relative_record_gif.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/relative_record_gif2.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/research_extractor.py,runtime,CN/TW,yes,CN; cn; zh-CN; Chinese,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/research_optimizer.py,runtime,CN/TW,yes,CN; cn; azur-stats.lyoko.io,no,,n/a,remove_service_integration,,high,reviewed_or_retained
dev_tools/uiautomator2_screenshot.py,runtime,JP,yes,JP; jp,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/utils.py,runtime,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; JP; jp; ja-JP; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
dev_tools/word_template_extractor.py,runtime,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; JP; jp; ja-JP; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
docker-compose.yml,other,CN/TW+TW,no,CN; cn; TW; tw,no,,n/a,review,,medium,reviewed_or_retained
module/awaken/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/base/base.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,high,reviewed_or_retained
module/base/mask.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/base/resource.py,runtime,CN/TW+JP+TW,yes,CN; cn; JP; jp; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/base/retry.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/base/utils.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/campaign/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/campaign/campaign_ocr.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/campaign/campaign_status.py,runtime,JP,yes,JP; jp,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/campaign/gems_farming.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/campaign/os_run.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/campaign/run.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/coalition/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/coalition/coalition.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/coalition/ui.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/combat/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/combat/combat.py,runtime,CN/TW+JP+TW,yes,CN; cn; JP; jp; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,high,reviewed_or_retained
module/combat/hp_balancer.py,runtime,CN/TW+JP,yes,Chinese; JP; jp,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/combat/level.py,runtime,JP+TW,yes,JP; jp; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/combat_ui/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/commission/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/commission/commission.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/commission/project.py,runtime,CN/TW+JP+TW,yes,CN; cn; JP; jp; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/commission/project_data.py,runtime,CN/TW+JP+TW,yes,CN; cn; JP; jp; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/config/argument/args.json,config,CN/TW+JP+TW,yes,CN; cn; JP; jp; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu; cn_android; cn_ios; cn_channel; reverse_proxy; AzurStats; azurstats,yes,module/config/argument/*.yaml + config_updater.py,n/a,remove_service_integration,,high,reviewed_or_retained
module/config/argument/argument.yaml,config,CN/TW+TW,yes,CN; cn; TW; tw; reverse_proxy; AzurStats; azurstats,no,,n/a,remove_service_integration,,high,reviewed_or_retained
module/config/config.py,config,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/config/config_generated.py,config,CN/TW+JP+TW,yes,CN; cn; JP; jp; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu; cn_android; cn_ios; cn_channel; reverse_proxy; AzurStats; azurstats,yes,module/config/config_updater.py,n/a,remove_service_integration,,high,reviewed_or_retained
module/config/config_manual.py,config,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/config/config_updater.py,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; JP; jp; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,high,reviewed_or_retained
module/config/deep.py,config,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/config/i18n/en-US.json,gui_locale,CN/TW+JP+TW,no,CN; cn; Chinese; JP; jp; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu; cn_android; cn_ios; cn_channel; reverse_proxy; AzurStats; azurstats; azur-stats.lyoko.io,no,module/config/config_updater.py + existing locale bundle,n/a,remove_service_integration,,medium,reviewed_or_retained
module/config/i18n/ja-JP.json,gui_locale,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu; cn_android; cn_ios; cn_channel; reverse_proxy; AzurStats; azurstats,no,module/config/config_updater.py + existing locale bundle,n/a,remove_service_integration,,medium,removed
module/config/i18n/zh-CN.json,gui_locale,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu; cn_android; cn_ios; cn_channel; reverse_proxy; AzurStats; azurstats; azur-stats.lyoko.io,no,module/config/config_updater.py + existing locale bundle,n/a,remove_service_integration,,medium,removed
module/config/i18n/zh-TW.json,gui_locale,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu; cn_android; cn_ios; cn_channel; reverse_proxy; AzurStats; azurstats; azur-stats.lyoko.io,no,module/config/config_updater.py + existing locale bundle,n/a,remove_service_integration,,medium,removed
module/config/redirect_utils/utils.py,config,CN/TW,yes,CN; cn; reverse_proxy,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/config/server.py,config,CN/TW+JP+TW,yes,CN; cn; JP; jp; TW; tw; com.bilibili; com.YoStarJP; com.hkmanjuu; cn_android; cn_ios; cn_channel,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/config/utils.py,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; JP; jp; ja-JP; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/daily/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/daily/daily.py,runtime,JP,yes,JP; jp,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/connection.py,runtime,CN/TW+TW,yes,CN; cn; Chinese; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/connection_attr.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/device.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/adb.py,runtime,CN/TW+TW,yes,TW; tw; com.bilibili,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/droidcast.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/hermit.py,runtime,CN/TW,yes,CN; cn; zh-CN,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/pool.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/remove_warning.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/scrcpy/const.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/scrcpy/core.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/uiautomator_2.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/utils.py,runtime,CN/TW+TW,yes,Chinese; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/method/wsa.py,runtime,CN/TW,yes,com.bilibili,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/platform/emulator_windows.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/platform/platform_base.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/platform/platform_windows.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/device/screenshot.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/dorm/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/equipment/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/equipment/equipment_change.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/event/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/event_hospital/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/event_hospital/clue.py,runtime,JP+TW,yes,JP; jp; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/eventstory/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/eventstory/eventstory.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/exercise/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/exercise/exercise.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/freebies/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/freebies/battle_pass.py,runtime,CN/TW+JP,yes,CN; cn; JP; jp,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/gacha/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/gacha/ui.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/game_setting/setting_extractor.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/game_setting/setting_generated.py,runtime,TW,yes,TW; tw,yes,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/guild/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/guild/logistics.py,runtime,JP+TW,yes,JP; jp; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/guild/operations.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/handler/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/handler/info_handler.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/handler/login.py,runtime,CN/TW,yes,CN; cn,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/hard/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/logger.py,runtime,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/map/assets.py,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,yes,dev_tools/button_extract.py + assets/,n/a,review,,high,reviewed_or_retained
module/map/camera.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
module/map/fleet.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,migrated_or_retained_EN
